CVE-2014-5332,362,,+Priv,2015-02-06,2015-02-06,6.9,None,Local,Medium,Not required,Complete,Complete,Complete,NA
CVE-2013-7421,264,,,2015-03-02,2015-04-09,2.1,None,Local,Low,Not required,None,Partial,None,ccm_init_mac,chksum_init,deflate_decompress,cbc_decrypt,ctr_crypt,lrw_twofish_setkey,NA,fallback_blk_dec,ghash_flush,lrw_decrypt,crypto_ccm_encrypt_done,arc4_exit,crypto_gcm_init_crypt,fcrypt_setkey,__sha512_ssse3_update,key_schedule,blowfish_mod_init,__crc32c_intel_finup,nx842_mod_init,cast5_init,sha256_ssse3_final,ccm_setkey,crypto_is_test_larval,crypto_rfc3686_exit_tfm,__cbc_decrypt,cast6_fpu_end,crypto_find_alg
CVE-2014-1438,264,,DoS +Priv,2014-01-18,2014-03-16,4.7,None,Local,Medium,Not required,None,None,Complete,restore_fpu_checking
CVE-2014-0206,,,+Info,2014-06-25,2014-08-01,2.1,None,Local,Low,Not required,Partial,None,None,aio_read_events_ring
CVE-2014-0205,119,,DoS Overflow +Priv,2014-09-28,2014-11-18,6.9,None,Local,Medium,Not required,Complete,Complete,Complete,futex_wait,futex_wait_requeue_pi
CVE-2014-0203,20,,DoS,2014-06-23,2014-07-24,4.9,None,Local,Low,Not required,None,None,Complete,__do_follow_link,NA
CVE-2014-0196,362,,DoS +Priv Mem. Corr.,2014-05-07,2014-07-17,6.9,None,Local,Medium,Not required,Complete,Complete,Complete,n_tty_write
CVE-2014-0181,264,,Bypass,2014-04-26,2015-06-03,2.1,None,Local,Low,Not required,None,Partial,None,NA
CVE-2014-0155,20,,DoS,2014-04-14,2014-04-15,5.5,None,Local Network,Low,Single system,None,None,Complete,ioapic_servic
CVE-2014-0131,399,,+Info,2014-03-24,2015-03-25,2.9,None,Local Network,Medium,Not required,Partial,None,None,skb_segment
CVE-2014-0102,310,,DoS,2014-03-11,2014-03-11,5.2,None,Local Network,Medium,Single system,None,None,Complete,NA
